NID,Time,EventName,DisasterType,Lon,Lat,C_Name,T_Name,Address,situation,TOWN_ID
169500,2016-9-30 11:35,梅姬颱風,roadbed loss,120.45384,24.135747,彰化縣,線西鄉,彰化縣線西鄉中華路477巷,線西鄉中華路477巷旁道路塌陷，待搶處理,1000704
169507,2016-9-30 11:31,梅姬颱風,slope slump,120.470991,24.13097,彰化縣,線西鄉,彰化縣線西鄉中央路2段45號,551564654,1000704
169508,2016-9-30 11:27,梅姬颱風,slope slump,120.429524,24.064443,彰化縣,鹿港鎮,彰化縣鹿港鎮東石里台17線51k處,颱風豪雨不斷，導致彰化縣東石里台17線51k處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000702
169511,2016-9-30 11:24,梅姬颱風,slope slump,120.500471,23.850287,彰化縣,溪州鄉,彰化縣溪州鄉尾厝村溪下路,"颱風豪雨不斷,導致溪州鄉尾厝村溪下路一段150號邊坡土石坍方,交通中斷,目前已派員進行搶修中.",1000726
169513,2016-9-30 11:13,梅姬颱風,slope slump,120.425182,23.862773,彰化縣,竹塘鄉,彰化縣竹塘鄉竹塘村,"颱風豪雨不斷,導致竹塘市中心台19線51處邊坡土石坍方,交通中斷,目前已派員進行搶修中",1000725
169519,2016-9-30 10:57,梅姬颱風,slope slump,120.535509,23.918313,彰化縣,永靖鄉,彰化縣永靖鄉台3線51K處,颱風豪雨不斷．導致台3線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中,1000716
169522,2016-9-30 10:54,梅姬颱風,slope slump,120.471987,23.984217,彰化縣,埔鹽鄉,彰化縣埔鹽鄉角樹村2鄰員鹿路一段30號,颱風豪雨不斷，導致角樹村員鹿路台線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000714
169524,2016-9-30 10:47,梅姬颱風,slope slump,120.611511,23.904779,彰化縣,社頭鄉,彰化縣社頭鄉山腳路二段150號,颱風豪雨不斷．導致彰化縣社頭鄉山腳路二段150號邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000717
169525,2016-9-30 10:43,梅姬颱風,slope slump,120.590841,23.956624,彰化縣,員林市,彰化縣員林市,颱風豪雨不斷，導致彰化市員林區台一線51k處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000710
169535,2016-9-30 10:36,梅姬颱風,slope slump,120.32091,23.852335,彰化縣,大城鄉,彰化縣大城鄉中平路185號,颱風豪雨不斷．導致大城台11線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000724
169551,2016-9-30 10:14,梅姬颱風,slope slump,120.582666,23.996561,彰化縣,大村鄉,彰化縣大村鄉平和村山腳路75號,颱風豪雨不斷，導致大村鄉平和村山腳路137線51K處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000713
169553,2016-9-30 10:13,梅姬颱風,slope slump,120.34677,23.964843,彰化縣,芳苑鄉,彰化縣芳苑鄉王功村3鄰芳漢路532之4號,颱風豪雨不斷，溪水暴漲，造成彰化縣芳苑鄉台17線51k處邊土石坍方。交通中斷，目前已派員進行搶修中。,1000723
169555,2016-9-30 10:12,梅姬颱風,slope slump,120.536704,23.955908,彰化縣,埔心鄉,彰化縣埔心鄉,颱風豪雨不斷．導致彰化縣埔心鄉泗湳路382號處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000715
169379,2016-9-30 10:09,梅姬颱風,slope slump,120.371958,23.899526,彰化縣,二林鎮,彰化縣二林鎮斗苑路,颱風豪雨不斷．導致彰化縣二林鎮斗苑路邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000720
169385,2016-9-30 10:02,梅姬颱風,slope slump,120.634464,24.004768,彰化縣,芬園鄉,彰化縣芬園鄉縣庄村,颱風豪雨不斷．導致進芬村(台14線丁往縣庄1km處)處邊坡土石坍方，交通中斷，目前已派員進行搶修中。,1000709
169392,2016-9-30 09:50,梅姬颱風,slope slump,120.416438,23.852471,彰化縣,竹塘鄉,彰化縣竹塘鄉土庫村,"颱風豪雨不斷,導致竹塘市中心台19線51k處邊坡土石坶方,交通中斷,目前已派員進行搶修中",1000725
169400,2016-9-30 09:20,梅姬颱風,road blockage,120.531398,24.057607,彰化縣,彰化市,彰化縣彰化市南興街121巷25弄118號,有落石,1000701
169401,2016-9-30 09:20,梅姬颱風,road blockage,120.540108,24.044821,彰化縣,花壇鄉,彰化縣花壇鄉宮口巷112號,有落石,1000708
169563,2016-9-30 09:20,梅姬颱風,rock fall,120.578041,23.973548,彰化縣,員林市,彰化縣員林鎮三愛里,山坡土石掉落，道路單向通車已派員前往處理====================招牌掉落阻礙道路交通。已派員前往處理,1000710
169564,2016-9-30 09:20,梅姬颱風,road blockage,120.531398,24.057607,彰化縣,彰化市,彰化縣彰化市南興街121巷25弄118號,有落石已派員前往處理====================有落石已派員前往處理,1000701
168507,2016-9-29 16:35,梅姬颱風,roadbed loss,120.37347,22.739624,高雄市,大社區,高雄市大社區保安里大社路401巷,保安里林義萬里長、區公所民政課蘇振華課長通報，本區保安里大社路401巷過陽光大地往嘉誠里方向約300公尺，路基淘空有破洞，請權管單位儘速派員排除。,6401600
168510,2016-9-29 16:27,梅姬颱風,debris flow,120.48527,23.322312,臺南市,白河區,臺南市白河區關嶺里175線3.6公里處,175線3.6公里處土石崩落目前單線通行,6700300
168533,2016-9-29 15:44,梅姬颱風,road blockage,120.48527,23.322312,臺南市,白河區,臺南市白河區關嶺里175線2公里,175線2公里處過岩頂咖啡路基已淘空,6700300
168603,2016-9-29 13:45,梅姬颱風,road blockage,120.50459,23.338491,臺南市,白河區,臺南市白河區關子嶺24-10號,臺南市白河區關子嶺24-10號阿美民宿旁1999轉報民眾來電反映臺南市白河區關子嶺24-10號有大顆石頭滾下來擋住道路及水溝請盡速派員處理,6700300
168680,2016-9-29 11:36,梅姬颱風,road blockage,120.507574,23.026028,高雄市,杉林區,高雄市杉林區木梓里田仔頂,田仔頂道路土石崩塌阻擋通行,6403400
168745,2016-9-29 10:42,梅姬颱風,road blockage,120.580401,22.980264,高雄市,杉林區,高雄市杉林區新庄里,農路及箱涵阻塞(已通知開口合約廠商處理),6403400
168752,2016-9-29 10:32,梅姬颱風,rock fall,120.537615,23.045577,高雄市,杉林區,高雄市杉林區木梓里,土石崩塌阻塞野溪損及農田(已通知本所開口合約廠商處理),6403400
162703,2016-9-29 08:11,梅姬颱風,rock fall,120.64356,22.437091,屏東縣,來義鄉,屏東縣來義鄉南和村牌樓前,南和村牌樓前道路(屏115線)土石坍方其中有樹木壓到電線,1001330
163023,2016-9-28 19:07,梅姬颱風,slope slump,120.401393,23.05186,臺南市,左鎮區,臺南市左鎮區左鎮里91-2號旁道路,附近道路坍塌請處理,6702600
163047,2016-9-28 18:59,梅姬颱風,debris flow,120.447549,22.84274,高雄市,旗山區,高雄市旗山區新光里大洲國中,新光里大洲國中後方土石流淹水30CM,6403000
163142,2016-9-28 18:32,梅姬颱風,roadbed loss,120.312974,22.720653,高雄市,楠梓區,高雄市楠梓區後昌路,後昌路47巷與後昌路交叉口污水處理工程路面嚴重下陷，聯絡污水處理公司無人接聽,6400400
163402,2016-9-28 17:30,梅姬颱風,rock fall,120.465764,22.84847,高雄市,旗山區,高雄市旗山區中寮一路,中寮一路過公墓路段及崑山路段有崩落石塊,6403000
163418,2016-9-28 17:26,梅姬颱風,road blockage,120.47234,22.875912,高雄市,旗山區,高雄市旗山區,路面坍塌,6403000
163448,2016-9-28 17:20,梅姬颱風,roadbed loss,120.176267,22.99744,臺南市,安平區,臺南市安平區華平路700號,人行步道下陷請處理,6703600
168847,2016-9-28 17:18,梅姬颱風,slope slump,120.85301,24.191545,臺中市,東勢區,臺中市東勢區慶福里枝寮坑,1.路樹倒塌(本所農建課開口廠商於105.9.2911：05清除)2.邊坡滑落,6601000
163598,2016-9-28 16:48,梅姬颱風,road blockage,120.379834,22.564805,高雄市,小港區,高雄市小港區大坪里高松墓園,大坪里高松墓園產業道路《從高松往大平頂天主教公墓》方向，里長轉述有坍塌土石，請協助設封鎖線(昨日有已設封鎖，但被里民強行進入)。,6401100
163636,2016-9-28 16:43,梅姬颱風,rock fall,120.250932,23.028915,臺南市,永康區,臺南市永康區復華6街,土坡崩落之路上也路樹倒塌,6703100
163769,2016-9-28 16:15,梅姬颱風,roadbed loss,121.5118,25.08809,臺北市,士林區,"中正路中正路往百齡橋高架環河引道,地標:百齡橋",路面坑洞，露出鋼筋，車輛經過要閃避長寬30X20公分深沒注意的洞,6301100
163777,2016-9-28 16:14,梅姬颱風,roadbed loss,121.5278,25.13772,臺北市,北投區,北投區行義路295號,路面掏空,6301200
168878,2016-9-28 16:02,梅姬颱風,roadbed loss,121.538,25.14404,臺北市,北投區,北投區紗帽路96號路燈到97號路燈間,北投區紗帽路96號路燈到97號路燈間,6301200
163856,2016-9-28 16:02,梅姬颱風,roadbed loss,120.591003,23.290868,嘉義縣,大埔鄉,嘉義縣大埔鄉,嘉129線33.7k處路基流失約20M,1001017
163936,2016-9-28 15:51,梅姬颱風,road blockage,120.715776,23.559799,嘉義縣,梅山鄉,嘉義縣梅山鄉太和村太和農會下方,土石崩塌阻斷道路169線通行,1001015
163986,2016-9-28 15:45,梅姬颱風,road blockage,120.628378,23.588153,嘉義縣,梅山鄉,嘉義縣梅山鄉龍眼村.碧湖村,坍方落石影響道路通行,1001015
